"","tree_index","ntip","height","N_total","treelength","muml","etaml","lambdaml","type","inference","how_many_supported","N_per_time","support_per_time"
"1",100,385,100,5.9451200208194e-05,4664.56367152088,0.0512319338080486,1.00000029819067e-08,0.0676368239631186,"pooled","age_scaling_effect",1,1.27452864608041e-08,0.000214382323925691
"2",100,385,100,1.23078786643907e-06,4664.56367152088,0.0512319338080486,1.00000029819067e-08,0.0676368239631186,"strong support","age_scaling_effect",1,2.6385916306675e-10,0.000214382323925691
"3",101,167,100,2.32983369823935,2211.81752430879,0.0981432420032811,0.00132381162602738,0.098243242003284,"pooled","age_scaling_effect",0,0.00105335710230772,0
"4",101,167,100,0,2211.81752430879,0.0981432420032811,0.00132381162602738,0.098243242003284,"strong support","age_scaling_effect",0,0,0
"5",102,1042,100,8.07196925167184,9554.6949858805,0.167622063420931,0.00134079548783575,0.184751078601342,"pooled","age_scaling_effect",6,0.000844817052098495,0.000627963530899367
"6",102,1042,100,0.0700559868524738,9554.6949858805,0.167622063420931,0.00134079548783575,0.184751078601342,"strong support","age_scaling_effect",6,7.33210081075318e-06,0.000627963530899367
"7",103,786,100,0.00530456565894735,9664.64980276109,0.173841795937634,1.02206973067037e-06,0.186898406294168,"pooled","age_scaling_effect",1,5.48862686926524e-07,0.000103469863927642
"8",103,786,100,0.000241634923298265,9664.64980276109,0.173841795937634,1.02206973067037e-06,0.186898406294168,"strong support","age_scaling_effect",1,2.50019326338377e-08,0.000103469863927642
"9",104,530,100,0.00625333226029712,6611.01228158957,0.195547332896022,1.86534096134982e-06,0.195647332896035,"pooled","age_scaling_effect",1,9.4589633084051e-07,0.000151262765429254
"10",104,530,100,0.000179558772169446,6611.01228158957,0.195547332896022,1.86534096134982e-06,0.195647332896035,"strong support","age_scaling_effect",1,2.71605564354318e-08,0.000151262765429254
"11",105,2261,100,24.3900302184063,21935.2929961382,0.11322506983562,0.00146119210703161,0.126128759245375,"pooled","age_scaling_effect",10,0.00111190811185883,0.000455886319902841
"12",105,2261,100,0.105390066821004,21935.2929961382,0.11322506983562,0.00146119210703161,0.126128759245375,"strong support","age_scaling_effect",10,4.80458897173419e-06,0.000455886319902841
"13",106,727,100,1.1748225631866,9478.87827644087,0.0784432141658525,0.000154551805035807,0.0785432141658538,"pooled","age_scaling_effect",2,0.000123941096079538,0.000210995430226261
"14",106,727,100,0.00656971574070276,9478.87827644087,0.0784432141658525,0.000154551805035807,0.0785432141658538,"strong support","age_scaling_effect",2,6.93089999586909e-07,0.000210995430226261
"15",107,2504,100,16.6443910856728,18088.2539844363,0.160067490022279,0.00126045591366062,0.191564796111446,"pooled","age_scaling_effect",8,0.000920176767751837,0.000442275965766705
"16",107,2504,100,0.0383899592801688,18088.2539844363,0.160067490022279,0.00126045591366062,0.191564796111446,"strong support","age_scaling_effect",8,2.12236953954764e-06,0.000442275965766705
"17",108,117,100,2.51306083660571,1564.97192290319,0.102620741681141,0.00219120889895544,0.118685524789559,"pooled","age_scaling_effect",0,0.0016058184813589,0
"18",108,117,100,0,1564.97192290319,0.102620741681141,0.00219120889895544,0.118685524789559,"strong support","age_scaling_effect",0,0,0
"19",109,257,100,3.11545445366291e-05,3636.25717926226,0.0475331124520394,1.0000001e-08,0.0656483359479925,"pooled","age_scaling_effect",0,8.56775057449316e-09,0
"20",109,257,100,0,3636.25717926226,0.0475331124520394,1.0000001e-08,0.0656483359479925,"strong support","age_scaling_effect",0,0,0
"21",10,429,100,5.10237613394478e-05,5838.10894184005,0.0824137375100507,1e-08,0.0870718711182033,"pooled","age_scaling_effect",0,8.73977547314597e-09,0
"22",10,429,100,0,5838.10894184005,0.0824137375100507,1e-08,0.0870718711182033,"strong support","age_scaling_effect",0,0,0
"23",110,527,100,3.19930455415156,6479.16594600259,0.117166402663148,0.000683690770005398,0.156073741214479,"pooled","age_scaling_effect",3,0.000493783394469996,0.000463022559539611
"24",110,527,100,0.00455317002475043,6479.16594600259,0.117166402663148,0.000683690770005398,0.156073741214479,"strong support","age_scaling_effect",3,7.02740146292992e-07,0.000463022559539611
"25",111,189,100,0.00628645621483776,2823.90281237246,0.086055797405886,2.91267984480161e-06,0.111968867967991,"pooled","age_scaling_effect",0,2.22615884204467e-06,0
"26",111,189,100,0,2823.90281237246,0.086055797405886,2.91267984480161e-06,0.111968867967991,"strong support","age_scaling_effect",0,0,0
"27",112,775,100,4.51219888994566,10108.1370422033,0.108804542676235,0.000666700372291746,0.131993999798102,"pooled","age_scaling_effect",1,0.000446392730045744,9.89301980992953e-05
"28",112,775,100,0.0332947948741609,10108.1370422033,0.108804542676235,0.000666700372291746,0.131993999798102,"strong support","age_scaling_effect",1,3.29386065257614e-06,9.89301980992953e-05
"29",113,870,100,0.944345196462937,5589.89160441064,0.344656157380022,0.000299976687843339,0.361237123922925,"pooled","age_scaling_effect",2,0.000168938015849505,0.000357788691004656
"30",113,870,100,0.00164268663031176,5589.89160441064,0.344656157380022,0.000299976687843339,0.361237123922925,"strong support","age_scaling_effect",2,2.93867349595046e-07,0.000357788691004656
"31",114,528,100,8.40210960744905,7174.45105619743,0.0912134245206821,0.00165337861594098,0.0947449890228636,"pooled","age_scaling_effect",1,0.00117111532877364,0.000139383486230097
"32",114,528,100,0.0211685818283111,7174.45105619743,0.0912134245206821,0.00165337861594098,0.0947449890228636,"strong support","age_scaling_effect",1,2.95055073377708e-06,0.000139383486230097
"33",115,1207,100,27.0859668337391,9971.6232189054,0.0910821798565769,0.00290330482204239,0.134913871345734,"pooled","age_scaling_effect",4,0.00271630468170781,0.000401138301376682
